staid,station_name,latitude,longitude,elevation,source_file
10971,NETHERLANDS RDAM-WAALHAVEN,51.893055555555556,4.423055555555556,4,indexCDD_010971.txt
10972,NETHERLANDS HOEK_VAN_HOLLAND_1,51.98527777777778,4.148055555555556,1,indexCDD_010972.txt
10973,NETHERLANDS KRIMPEN_AAN_DE_LEK,51.895833333333336,4.615555555555555,-2,indexCDD_010973.txt
10974,NETHERLANDS HUPSEL_1,52.06805555555556,6.64,26,indexCDD_010974.txt
10975,NETHERLANDS HERWIJNEN_1,51.82277777777778,5.152500000000001,1,indexCDD_010975.txt
10976,NETHERLANDS GILZE-RIJEN_1,51.56777777777778,4.933055555555556,14,indexCDD_010976.txt
10977,NETHERLANDS VOLKEL_1,51.658055555555556,5.706388888888889,21,indexCDD_010977.txt
10978,NETHERLANDS ARCEN_1,51.48305555555556,6.183888888888889,19,indexCDD_010978.txt
10979,NETHERLANDS WAALRE,51.416666666666664,5.48,18,indexCDD_010979.txt
10980,NETHERLANDS KESSEL-EIK,51.283055555555556,6.016666666666667,26,indexCDD_010980.txt
19205,NETHERLANDS LEMMER,52.847500000000004,5.679166666666667,7,indexCDD_019205.txt
19206,NETHERLANDS UTRECHT,52.08305555555556,5.133055555555555,3,indexCDD_019206.txt
19207,NETHERLANDS VELP,51.98305555555556,5.983055555555556,13,indexCDD_019207.txt
19208,NETHERLANDS HEUSDEN,51.736666666666665,5.145555555555556,14,indexCDD_019208.txt
20469,NETHERLANDS 'S-HERTOGENBOSCH,51.6975,5.305,3,indexCDD_020469.txt
20470,NETHERLANDS AALSUM BIJ DOKKUM,53.323055555555555,6.202500000000001,1,indexCDD_020470.txt
20471,NETHERLANDS AARDENBURG,51.288888888888884,5.9752777777777775,3,indexCDD_020471.txt
20472,NETHERLANDS AKKRUM,53.46944444444445,5.8275,0,indexCDD_020472.txt
20473,NETHERLANDS ALKMAAR,52.63055555555555,4.722777777777778,1,indexCDD_020473.txt
20474,NETHERLANDS AMERSFOORT,52.155,5.390555555555556,5,indexCDD_020474.txt
20475,NETHERLANDS AMSTERDAM ANWI (FIL),52.370555555555555,4.919166666666667,-100,indexCDD_020475.txt
20476,NETHERLANDS ANDIJK,52.74638888888889,5.221666666666667,-2,indexCDD_020476.txt
20478,NETHERLANDS BAKEL (DE RIPS),51.5,5.783055555555555,-100,indexCDD_020478.txt
20479,NETHERLANDS BAKKUM,52.55555555555555,4.635833333333333,3,indexCDD_020479.txt
20480,NETHERLANDS BALINGE,52.81166666666666,6.630555555555556,-100,indexCDD_020480.txt
20481,NETHERLANDS BATHMEN,52.25138888888889,6.298333333333333,9,indexCDD_020481.txt
20482,NETHERLANDS BEETSTERZWAAG,53.99916666666667,5.948888888888889,-1,indexCDD_020482.txt
20483,NETHERLANDS BEMMELENHOEVE VAN PROF.,52.783055555555556,5.05,-100,indexCDD_020483.txt
20484,NETHERLANDS BENNEBROEK,52.31666666666667,4.588055555555555,-100,indexCDD_020484.txt
20486,NETHERLANDS BODEGRAVEN,52.07805555555556,4.730555555555556,-100,indexCDD_020486.txt
20487,NETHERLANDS BOORNBERGUM FR,53.84583333333334,6.458888888888889,1,indexCDD_020487.txt
20488,NETHERLANDS BORNE,52.300555555555555,6.7675,-100,indexCDD_020488.txt
20489,NETHERLANDS BOVENKARSPEL,52.68805555555555,5.230555555555556,-2,indexCDD_020489.txt
20490,NETHERLANDS BREDA (II E18),51.59055555555556,4.776388888888889,4,indexCDD_020490.txt
20491,NETHERLANDS BREDA (III E18),51.59055555555556,4.776388888888889,4,indexCDD_020491.txt
20492,NETHERLANDS BRESKENS (OUD),51.39555555555555,3.5691666666666664,-100,indexCDD_020492.txt
20493,NETHERLANDS BROEK OP LANGEDIJK,52.674166666666665,4.805,-1,indexCDD_020493.txt
20494,NETHERLANDS BRUINISSE,51.659166666666664,4.0938888888888885,-100,indexCDD_020494.txt
20495,NETHERLANDS BUINERVEEN,52.93555555555555,6.880833333333334,8,indexCDD_020495.txt
20496,NETHERLANDS BUREN (BETUWE),51.90888888888889,5.335277777777778,-100,indexCDD_020496.txt
20497,NETHERLANDS BUSSUM,52.26277777777778,5.163055555555556,10,indexCDD_020497.txt
20498,NETHERLANDS CADZAND,51.37444444444444,3.3827777777777777,5,indexCDD_020498.txt
20499,NETHERLANDS COEVORDEN,52.658055555555556,6.770555555555555,-100,indexCDD_020499.txt
20501,NETHERLANDS CRAUBEEK,50.8775,5.902500000000001,100,indexCDD_020501.txt
20502,NETHERLANDS DALMSHOLTE,52.47805555555556,6.3475,-100,indexCDD_020502.txt
20503,NETHERLANDS DE WIJK DR,52.680277777777775,6.286666666666666,-100,indexCDD_020503.txt
20504,NETHERLANDS DEIL,51.8875,5.245,3,indexCDD_020504.txt
20505,NETHERLANDS DELLE,52.401666666666664,5.9752777777777775,25,indexCDD_020505.txt
20506,NETHERLANDS DEN HULST OV,52.31805555555556,6.945555555555556,-100,indexCDD_020506.txt
20507,NETHERLANDS DEVENTER,52.26305555555555,6.172777777777778,65,indexCDD_020507.txt
20508,NETHERLANDS DOORN (KASTEEL),52.0325,5.339166666666666,-100,indexCDD_020508.txt
20509,NETHERLANDS DORDRECHT,51.812777777777775,4.678055555555556,-100,indexCDD_020509.txt
20510,NETHERLANDS DREISCHOR,51.69166666666666,3.9875000000000003,-100,indexCDD_020510.txt
20511,NETHERLANDS DRIEBERGEN,52.06666666666667,5.283055555555555,-100,indexCDD_020511.txt
20512,NETHERLANDS DUINDAG BIJ DEN HAAG,52.11805555555556,4.308055555555556,-100,indexCDD_020512.txt
20513,NETHERLANDS EETHEN,51.731388888888894,5.051666666666667,-100,indexCDD_020513.txt
20514,NETHERLANDS ELST (UTRECHT),51.916666666666664,5.866666666666667,-100,indexCDD_020514.txt
